Language,Bin,N,Real Mean,Random Mean,Gap,KS Stat,p-value,Sig
English,4–7,1668,2.25,3.13,0.88,0.388,0.0,True
English,8–11,1844,3.81,4.86,1.05,0.326,0.0,True
English,12–15,1777,4.91,6.33,1.42,0.357,0.0,True
English,16–20,1868,6.09,7.72,1.64,0.337,0.0,True
English,21+,3750,8.36,10.79,2.43,0.331,0.0,True
Hindi,4–7,251,2.67,3.62,0.96,0.39,0.0,True
Hindi,8–11,1447,4.22,4.96,0.74,0.249,0.0,True
Hindi,12–15,2507,5.58,6.29,0.7,0.181,0.0,True
Hindi,16–20,3061,6.87,7.68,0.81,0.177,0.0,True
Hindi,21+,6016,9.2,10.36,1.16,0.158,0.0,True
German,4–7,849,2.27,3.36,1.09,0.489,0.0,True
German,8–11,2316,3.49,4.93,1.45,0.472,0.0,True
German,12–15,2612,4.52,6.29,1.77,0.488,0.0,True
German,16–20,3007,5.42,7.62,2.19,0.509,0.0,True
German,21+,4946,7.27,10.44,3.17,0.486,0.0,True
Spanish,4–7,438,2.57,3.29,0.73,0.329,0.0,True
Spanish,8–11,1081,4.02,4.9,0.88,0.313,0.0,True
Spanish,12–15,1651,5.06,6.25,1.19,0.31,0.0,True
Spanish,16–20,2408,6.16,7.66,1.5,0.343,0.0,True
Spanish,21+,8574,9.12,11.56,2.44,0.3,0.0,True
Chinese,8–11,320,3.81,5.06,1.25,0.381,0.0,True
Chinese,12–15,608,4.61,6.35,1.74,0.469,0.0,True
Chinese,16–20,866,5.43,7.67,2.24,0.516,0.0,True
Chinese,21+,2195,7.19,11.11,3.93,0.535,0.0,True
Arabic,4–7,317,2.91,3.29,0.38,0.196,0.0,True
Arabic,8–11,466,4.59,4.84,0.25,0.069,0.222,False
Arabic,12–15,366,5.93,6.31,0.38,0.104,0.0386,True
Arabic,16–20,437,7.33,7.83,0.5,0.117,0.0052,True
Arabic,21+,4265,11.96,13.75,1.79,0.165,0.0,True
Russian,4–7,9571,2.07,3.16,1.09,0.493,0.0,True
Russian,8–11,12147,3.38,4.86,1.48,0.466,0.0,True
Russian,12–15,11743,4.5,6.29,1.78,0.463,0.0,True
Russian,16–20,12143,5.55,7.64,2.09,0.462,0.0,True
Russian,21+,21863,7.66,10.51,2.85,0.414,0.0,True
Japanese,4–7,471,2.58,3.22,0.64,0.231,0.0,True
Japanese,8–11,838,4.53,4.86,0.33,0.124,0.0,True
Japanese,12–15,921,6.11,6.24,0.13,0.042,0.381,False
Japanese,16–20,1149,7.57,7.66,0.09,0.063,0.0219,True
Japanese,21+,3632,11.14,11.37,0.23,0.024,0.2368,False
Turkish,4–7,1173,2.08,3.11,1.04,0.487,0.0,True
Turkish,8–11,794,3.39,4.87,1.48,0.481,0.0,True
Turkish,12–15,456,4.34,6.21,1.87,0.511,0.0,True
Turkish,16–20,362,5.28,7.52,2.24,0.492,0.0,True
Turkish,21+,398,6.72,9.67,2.95,0.505,0.0,True
Basque,4–7,912,2.31,3.31,1.01,0.398,0.0,True
Basque,8–11,1440,3.53,4.85,1.31,0.439,0.0,True
Basque,12–15,1239,4.41,6.28,1.87,0.513,0.0,True
Basque,16–20,1013,5.15,7.58,2.44,0.555,0.0,True
Basque,21+,761,6.33,9.49,3.16,0.586,0.0,True
